task_id,task_type,compute_units,data_size_mb,deadline_sec,priority
T-1645,image_processing,7.21,53.46,3.05,3
T-1646,path_planning,3.79,7.78,0.99,5
T-1647,path_planning,2.42,6.77,1.06,4
T-1648,image_processing,6.64,58.58,3.4,3
T-1649,path_planning,3.44,6.33,1.18,5
T-1650,path_planning,3.85,6.17,1.0,5
T-1651,anomaly_detection,6.62,33.98,2.04,4
T-1652,anomaly_detection,5.13,30.76,2.02,4
T-1653,object_tracking,5.93,19.37,1.34,5
T-1654,anomaly_detection,4.26,21.34,2.02,4
T-1655,image_processing,8.29,42.55,2.81,3
T-1656,image_processing,7.24,51.8,2.69,3
T-1657,terrain_mapping,9.28,70.95,5.02,2
T-1658,object_tracking,5.33,20.91,1.26,4
T-1659,anomaly_detection,4.43,34.14,2.09,4
T-1660,terrain_mapping,8.59,68.5,5.12,2
T-1661,image_processing,8.4,46.18,3.49,5
T-1662,terrain_mapping,10.52,66.47,4.44,2
T-1663,image_processing,9.92,46.66,3.33,3
T-1664,path_planning,3.4,3.26,1.15,5
T-1665,terrain_mapping,10.91,68.97,5.22,2
T-1666,path_planning,3.98,5.74,0.93,5
T-1667,anomaly_detection,6.27,25.87,1.87,4
T-1668,path_planning,3.4,5.74,0.84,5
T-1669,object_tracking,5.73,15.54,1.76,5
T-1670,path_planning,3.15,5.21,0.99,5
T-1671,path_planning,2.44,6.74,1.09,5
T-1672,image_processing,8.71,59.77,2.65,3
T-1673,terrain_mapping,10.72,65.05,4.08,2
T-1674,terrain_mapping,8.72,61.57,5.47,2
T-1675,object_tracking,4.87,16.49,1.63,5
T-1676,image_processing,6.96,49.77,3.19,3
T-1677,terrain_mapping,11.1,89.73,5.01,4
T-1678,terrain_mapping,9.1,79.6,4.55,1
T-1679,image_processing,7.96,53.38,3.01,5
T-1680,object_tracking,4.96,21.94,1.26,5
T-1681,terrain_mapping,9.94,79.34,4.65,2
T-1682,image_processing,7.3,54.28,3.36,3
T-1683,terrain_mapping,11.25,60.59,4.83,2
T-1684,object_tracking,4.98,20.19,1.55,5
T-1685,image_processing,9.01,44.15,3.16,5
T-1686,path_planning,2.01,5.24,0.93,5
T-1687,path_planning,3.31,3.44,0.9,5
T-1688,image_processing,9.92,50.12,2.86,3
T-1689,terrain_mapping,11.91,79.74,4.37,5
T-1690,anomaly_detection,5.98,26.67,1.9,4
T-1691,object_tracking,5.82,24.97,1.56,5
T-1692,image_processing,8.65,40.89,2.54,2
T-1693,path_planning,3.2,4.08,0.94,5
T-1694,terrain_mapping,8.3,67.65,4.57,2
T-1695,terrain_mapping,9.82,88.34,5.01,2
T-1696,path_planning,3.07,3.35,1.09,5
T-1697,path_planning,3.43,5.82,1.06,5
T-1698,path_planning,2.84,3.77,1.2,5
T-1699,image_processing,9.86,44.95,2.77,3
T-1700,object_tracking,4.81,18.29,1.25,5
T-1701,anomaly_detection,4.44,31.97,1.69,2
T-1702,terrain_mapping,11.81,83.48,4.19,2
T-1703,anomaly_detection,5.77,32.1,1.57,4
T-1704,object_tracking,5.73,20.52,1.56,5
T-1705,path_planning,2.64,6.76,0.87,5
T-1706,object_tracking,5.1,23.82,1.44,5
T-1707,anomaly_detection,4.03,27.7,1.61,4
T-1708,object_tracking,5.47,15.53,1.64,5
T-1709,path_planning,3.36,5.09,0.98,5
T-1710,anomaly_detection,6.4,27.53,1.69,4
T-1711,path_planning,2.61,7.29,1.18,5
T-1712,anomaly_detection,6.54,29.52,1.55,4
T-1713,image_processing,6.66,41.15,3.24,3
T-1714,terrain_mapping,11.23,60.32,5.42,2
T-1715,path_planning,2.96,5.58,1.2,5
T-1716,image_processing,7.62,52.33,3.41,3
T-1717,terrain_mapping,10.81,82.49,4.37,2
T-1718,object_tracking,5.37,15.42,1.47,5
T-1719,object_tracking,5.81,16.75,1.42,3
T-1720,image_processing,7.69,47.58,2.87,2
T-1721,object_tracking,5.7,23.58,1.37,5
T-1722,anomaly_detection,4.64,31.07,1.9,4
T-1723,anomaly_detection,6.79,34.39,1.86,4
T-1724,terrain_mapping,11.57,85.45,4.09,4
T-1725,anomaly_detection,4.9,21.61,1.74,4
T-1726,terrain_mapping,9.42,63.04,4.74,5
T-1727,path_planning,2.82,7.57,0.8,5
T-1728,anomaly_detection,4.68,25.93,1.71,4
T-1729,path_planning,3.07,4.35,1.2,5
T-1730,terrain_mapping,8.65,70.61,4.65,2
T-1731,path_planning,2.22,4.42,0.85,5
T-1732,anomaly_detection,6.7,22.4,1.64,4
T-1733,anomaly_detection,4.36,27.34,1.85,4
T-1734,path_planning,2.65,6.82,1.15,5
T-1735,terrain_mapping,8.53,88.73,5.19,3
T-1736,object_tracking,4.03,21.84,1.23,5
T-1737,terrain_mapping,11.91,82.12,4.65,2
T-1738,terrain_mapping,8.33,72.87,4.93,2
T-1739,path_planning,2.5,6.83,1.15,5
T-1740,path_planning,3.33,5.15,0.99,5
T-1741,image_processing,8.8,50.05,2.68,3
T-1742,object_tracking,5.26,16.49,1.27,5
T-1743,anomaly_detection,6.97,33.94,1.8,4
T-1744,image_processing,9.46,47.61,3.02,3
T-1745,path_planning,2.44,5.13,0.82,5
T-1746,image_processing,7.22,45.38,2.78,3
T-1747,terrain_mapping,8.99,86.85,4.27,3
T-1748,path_planning,2.57,4.4,1.04,5
T-1749,anomaly_detection,6.84,25.45,1.71,1
T-1750,object_tracking,5.54,16.3,1.42,5
T-1751,object_tracking,5.06,18.72,1.59,5
T-1752,terrain_mapping,8.35,63.19,4.94,2
T-1753,image_processing,8.35,58.24,3.15,3
T-1754,terrain_mapping,11.7,62.25,4.82,2
T-1755,terrain_mapping,11.96,66.06,5.08,2
T-1756,terrain_mapping,10.2,67.58,5.32,2
T-1757,object_tracking,5.95,23.95,1.47,5
T-1758,terrain_mapping,8.27,72.57,5.4,2
T-1759,image_processing,6.67,45.48,3.47,3
T-1760,object_tracking,4.12,24.72,1.31,5
T-1761,terrain_mapping,10.74,86.11,5.46,2
T-1762,object_tracking,4.77,22.79,1.44,5
T-1763,path_planning,2.01,5.86,1.04,5
T-1764,terrain_mapping,10.02,81.62,4.39,2
T-1765,anomaly_detection,6.12,28.28,1.62,2
T-1766,anomaly_detection,4.12,22.22,2.12,4
T-1767,anomaly_detection,6.62,20.77,2.19,4
T-1768,path_planning,3.07,3.01,0.94,5
T-1769,anomaly_detection,4.97,34.2,2.12,4
T-1770,path_planning,2.82,6.06,0.93,1
T-1771,anomaly_detection,4.66,34.48,1.62,4
T-1772,object_tracking,5.31,23.68,1.76,5
T-1773,terrain_mapping,11.78,67.72,4.94,2
T-1774,path_planning,3.63,4.1,0.91,5
T-1775,terrain_mapping,8.62,66.95,5.09,2
T-1776,terrain_mapping,8.37,65.45,4.28,2
T-1777,path_planning,3.14,7.72,0.87,5
T-1778,anomaly_detection,4.49,22.67,1.78,4
T-1779,image_processing,6.57,48.53,2.96,3
T-1780,terrain_mapping,8.4,75.8,5.09,2
T-1781,object_tracking,4.2,18.84,1.27,1
T-1782,path_planning,2.5,3.42,0.86,5
T-1783,image_processing,9.17,40.19,3.29,3
T-1784,anomaly_detection,6.56,21.27,1.6,4
T-1785,terrain_mapping,11.26,69.22,4.72,2
T-1786,object_tracking,5.38,21.27,1.27,5
T-1787,image_processing,8.18,42.05,3.39,3
T-1788,image_processing,9.65,40.48,2.93,3
T-1789,path_planning,3.84,6.42,1.07,5
T-1790,image_processing,7.97,59.82,2.72,3
T-1791,anomaly_detection,5.07,29.24,1.58,4
T-1792,image_processing,9.58,52.09,2.68,3
T-1793,object_tracking,4.36,19.25,1.74,5
T-1794,object_tracking,5.64,18.48,1.26,5
T-1795,anomaly_detection,6.8,32.16,2.0,1
T-1796,path_planning,3.56,3.73,0.86,5
T-1797,terrain_mapping,11.26,63.39,4.64,2
T-1798,path_planning,2.18,7.97,0.87,5
T-1799,anomaly_detection,5.48,27.22,2.18,4
T-1800,anomaly_detection,4.41,34.16,2.15,4
T-1801,object_tracking,4.99,20.34,1.52,5
T-1802,terrain_mapping,8.33,81.45,4.79,2
T-1803,path_planning,3.41,4.18,0.8,5
T-1804,image_processing,7.45,49.48,2.63,3
T-1805,anomaly_detection,6.55,33.0,2.07,4
T-1806,path_planning,3.67,5.76,1.17,5
T-1807,path_planning,3.66,3.28,0.86,5
T-1808,path_planning,2.75,3.13,1.19,5
T-1809,image_processing,8.65,41.48,3.34,3
T-1810,image_processing,6.59,42.83,2.75,4
T-1811,path_planning,3.53,5.35,0.86,5
T-1812,anomaly_detection,5.41,30.84,1.81,4
T-1813,image_processing,7.15,43.12,3.38,2
T-1814,object_tracking,4.32,18.96,1.45,5
T-1815,terrain_mapping,10.22,84.89,5.38,2
T-1816,path_planning,2.85,3.78,1.19,5
T-1817,path_planning,3.49,5.0,0.82,5
T-1818,object_tracking,5.21,15.77,1.62,5
T-1819,terrain_mapping,11.31,64.94,5.21,2
T-1820,path_planning,2.54,3.52,0.95,5
T-1821,anomaly_detection,4.08,24.23,1.88,5
T-1822,image_processing,9.03,46.18,3.05,3
T-1823,image_processing,6.96,41.7,3.07,4
T-1824,image_processing,6.19,41.86,2.81,3
T-1825,anomaly_detection,6.88,27.5,1.72,4
T-1826,anomaly_detection,6.92,30.54,1.57,4
T-1827,object_tracking,4.2,23.07,1.29,5
T-1828,terrain_mapping,9.91,86.06,4.06,2
T-1829,terrain_mapping,8.32,78.78,5.43,2
T-1830,path_planning,3.61,6.27,1.11,5
T-1831,object_tracking,5.03,22.29,1.59,5
T-1832,anomaly_detection,5.34,21.97,1.7,4
T-1833,terrain_mapping,8.16,81.38,5.02,2
T-1834,object_tracking,5.21,24.58,1.54,5
T-1835,image_processing,9.22,42.85,3.37,3
T-1836,image_processing,8.0,49.1,2.67,3
T-1837,image_processing,7.12,47.27,2.59,3
T-1838,terrain_mapping,9.03,74.2,4.38,2
T-1839,path_planning,3.88,7.86,1.0,5
T-1840,anomaly_detection,5.2,32.86,2.14,3
T-1841,object_tracking,5.69,24.52,1.42,5
T-1842,object_tracking,4.9,23.77,1.79,1
T-1843,path_planning,3.4,5.8,0.86,4
T-1844,path_planning,3.14,7.27,0.89,5
T-1845,image_processing,7.4,49.37,3.04,3
T-1846,image_processing,6.34,54.64,3.42,3
T-1847,terrain_mapping,8.8,69.86,4.48,2
T-1848,terrain_mapping,8.85,82.24,4.17,2
T-1849,object_tracking,4.31,19.7,1.58,5
T-1850,image_processing,9.95,55.48,2.56,3
T-1851,terrain_mapping,11.91,66.4,4.32,4
T-1852,anomaly_detection,4.76,22.64,1.6,4
T-1853,image_processing,7.19,54.24,3.37,3
T-1854,anomaly_detection,4.55,20.81,2.13,4
T-1855,anomaly_detection,4.49,25.24,1.79,4
T-1856,path_planning,3.93,5.18,1.17,5
T-1857,image_processing,8.24,57.88,2.7,3
T-1858,object_tracking,5.23,18.24,1.79,5
T-1859,anomaly_detection,4.04,33.45,2.15,4
T-1860,anomaly_detection,4.34,34.55,1.78,4
T-1861,image_processing,9.95,58.87,3.36,3
T-1862,object_tracking,4.19,17.19,1.79,5
T-1863,object_tracking,5.55,21.01,1.33,5
T-1864,path_planning,3.94,5.88,0.81,5
T-1865,image_processing,7.21,46.14,3.32,4
T-1866,terrain_mapping,9.66,70.55,5.24,2
T-1867,anomaly_detection,4.34,22.64,1.8,4
T-1868,object_tracking,4.33,19.36,1.37,5
T-1869,terrain_mapping,10.54,81.06,5.41,2
T-1870,image_processing,9.98,56.12,2.6,3
T-1871,object_tracking,5.86,16.04,1.65,5
T-1872,object_tracking,4.2,19.44,1.55,3
T-1873,terrain_mapping,8.85,83.31,4.83,4
T-1874,image_processing,7.4,55.88,2.96,3
T-1875,terrain_mapping,8.03,71.24,4.34,2
T-1876,anomaly_detection,4.92,33.54,2.14,4
T-1877,image_processing,9.6,48.29,2.52,3
T-1878,anomaly_detection,6.52,27.78,2.02,4
T-1879,path_planning,3.92,7.96,0.9,5
T-1880,path_planning,3.23,4.97,0.82,5
T-1881,terrain_mapping,8.52,79.09,5.47,2
T-1882,anomaly_detection,5.55,26.56,1.57,4
T-1883,object_tracking,4.24,20.77,1.44,5
T-1884,anomaly_detection,6.51,22.39,1.73,1
T-1885,terrain_mapping,8.05,83.1,4.23,2
T-1886,object_tracking,5.84,15.79,1.43,5
T-1887,path_planning,3.97,6.17,1.11,5
T-1888,path_planning,2.59,5.68,0.9,5
T-1889,terrain_mapping,11.08,79.78,4.41,2
T-1890,image_processing,8.55,51.59,2.6,3
T-1891,object_tracking,4.25,16.42,1.36,5
T-1892,image_processing,7.98,47.23,3.34,3
T-1893,terrain_mapping,11.18,72.41,4.73,2
T-1894,path_planning,3.37,4.88,0.93,5
T-1895,path_planning,2.36,3.05,0.87,5
T-1896,object_tracking,5.71,16.17,1.41,5
T-1897,object_tracking,5.2,15.05,1.51,5
T-1898,image_processing,6.77,40.59,2.52,3
T-1899,path_planning,2.43,4.82,1.16,2
T-1900,path_planning,2.17,6.46,0.85,5
T-1901,path_planning,3.91,4.74,1.02,5
T-1902,terrain_mapping,9.74,88.39,5.38,2
T-1903,path_planning,3.37,7.44,0.91,5
T-1904,object_tracking,5.59,20.88,1.3,5
T-1905,terrain_mapping,9.73,73.38,4.89,2
T-1906,anomaly_detection,5.87,29.11,1.8,4
T-1907,anomaly_detection,6.69,32.29,1.81,4
T-1908,object_tracking,4.51,19.1,1.56,5
T-1909,object_tracking,4.7,15.3,1.31,5
T-1910,path_planning,2.72,3.36,1.06,5
T-1911,anomaly_detection,4.37,24.78,1.51,4
T-1912,terrain_mapping,10.27,69.65,4.35,3
T-1913,object_tracking,4.42,17.17,1.54,5
T-1914,image_processing,8.3,52.93,3.18,3
T-1915,anomaly_detection,4.59,20.74,1.85,3
T-1916,terrain_mapping,8.48,73.58,4.9,2
T-1917,path_planning,3.15,4.43,1.06,5
T-1918,image_processing,9.65,45.69,3.34,3
T-1919,object_tracking,5.84,15.39,1.59,1
T-1920,terrain_mapping,10.89,68.24,5.13,2
T-1921,object_tracking,5.55,19.94,1.23,5
T-1922,terrain_mapping,9.97,79.23,5.37,2
T-1923,object_tracking,4.21,17.24,1.7,3
T-1924,terrain_mapping,8.91,62.64,5.09,2
T-1925,object_tracking,5.98,24.34,1.72,5
T-1926,image_processing,6.44,58.94,2.58,3
T-1927,object_tracking,5.58,18.8,1.62,5
T-1928,object_tracking,4.92,16.26,1.72,5
T-1929,terrain_mapping,10.55,80.05,4.78,2
T-1930,terrain_mapping,10.65,89.29,4.48,2
T-1931,path_planning,2.18,6.83,1.08,5
T-1932,path_planning,3.32,6.68,0.88,4
T-1933,image_processing,6.85,53.41,2.97,3
T-1934,terrain_mapping,8.42,66.26,4.89,2
T-1935,anomaly_detection,6.28,24.68,1.82,4
T-1936,object_tracking,4.21,16.3,1.75,5
T-1937,terrain_mapping,11.47,75.4,5.17,2
T-1938,anomaly_detection,5.27,30.29,2.17,4
T-1939,image_processing,6.59,57.52,3.25,3
T-1940,terrain_mapping,8.75,60.86,4.99,2
T-1941,anomaly_detection,4.35,28.25,1.75,4
T-1942,terrain_mapping,10.01,75.24,4.08,2
T-1943,image_processing,6.2,47.65,3.43,3
T-1944,path_planning,2.81,5.97,1.01,5
T-1945,terrain_mapping,8.44,61.5,4.37,1
T-1946,image_processing,9.58,51.5,2.74,3
T-1947,anomaly_detection,4.68,29.3,2.0,4
T-1948,image_processing,6.88,56.48,3.19,3
T-1949,path_planning,3.57,4.74,0.92,5
T-1950,image_processing,6.38,50.06,3.2,3
T-1951,anomaly_detection,6.56,30.32,1.62,4
T-1952,path_planning,2.37,7.5,0.86,4
T-1953,terrain_mapping,9.34,65.33,4.4,1
T-1954,object_tracking,4.7,19.74,1.2,5
T-1955,terrain_mapping,8.44,84.57,4.85,2
T-1956,path_planning,3.05,3.84,0.86,3
T-1957,anomaly_detection,5.36,31.02,2.19,4
T-1958,terrain_mapping,9.01,73.76,5.24,2
T-1959,anomaly_detection,6.67,31.62,2.1,4
T-1960,object_tracking,4.97,17.7,1.51,5
T-1961,path_planning,3.96,7.28,1.06,4
T-1962,image_processing,6.98,54.82,3.47,3
T-1963,image_processing,6.78,59.1,3.14,3
T-1964,object_tracking,5.8,19.49,1.77,5
T-1965,anomaly_detection,6.73,25.23,1.73,4
T-1966,anomaly_detection,4.93,20.62,1.86,4
T-1967,object_tracking,4.25,22.95,1.54,5
T-1968,anomaly_detection,4.87,34.54,1.85,4
T-1969,terrain_mapping,10.72,75.7,4.43,2
T-1970,path_planning,2.61,4.44,1.12,1
T-1971,path_planning,2.57,5.97,0.82,5
T-1972,terrain_mapping,9.41,85.02,4.07,3
T-1973,object_tracking,5.33,22.69,1.29,3
T-1974,path_planning,3.99,3.98,1.03,2
T-1975,image_processing,7.89,47.09,3.31,3
T-1976,terrain_mapping,9.6,87.12,5.34,2
T-1977,object_tracking,4.62,20.64,1.61,5
T-1978,object_tracking,4.28,22.68,1.35,5
T-1979,path_planning,2.6,3.43,1.03,5
T-1980,object_tracking,4.37,22.82,1.7,5
T-1981,terrain_mapping,10.78,75.11,5.03,2
T-1982,anomaly_detection,5.28,26.31,1.79,5
T-1983,image_processing,9.83,48.42,3.26,3
T-1984,anomaly_detection,6.36,28.7,1.76,4
T-1985,object_tracking,5.76,15.54,1.71,1
T-1986,terrain_mapping,11.23,86.25,4.69,1
T-1987,anomaly_detection,6.49,29.75,1.73,3
T-1988,object_tracking,4.96,18.31,1.24,5
T-1989,object_tracking,5.48,15.53,1.32,4
T-1990,path_planning,2.45,6.38,1.14,5
T-1991,anomaly_detection,6.16,34.05,2.06,4
T-1992,path_planning,2.23,3.0,1.04,1
T-1993,path_planning,2.41,5.37,1.13,5
T-1994,image_processing,9.7,46.0,2.98,3
T-1995,path_planning,3.68,5.73,1.13,5
T-1996,object_tracking,4.25,16.46,1.21,2
T-1997,path_planning,3.02,6.5,0.88,5
T-1998,anomaly_detection,6.0,34.39,1.85,4
T-1999,terrain_mapping,9.54,84.0,4.7,2
T-2000,path_planning,2.06,5.29,1.03,3
